Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
croquettes-chien-adulte-poulet-riz,Croquettes Chien Adulte Poulet & Riz,"<p>Recette équilibrée à base de poulet frais et de riz complet, formulée pour l'entretien quotidien des chiens adultes. Favorise une bonne digestion et un pelage brillant.</p>",PattesZen,Croquettes chien,"chien,croquettes,adulte,bien-etre",TRUE,Format,2 kg,PZ-CCA-2KG,2000,shopify,30,deny,manual,24.90,,TRUE,TRUE,,,,FALSE,Croquettes chien adulte poulet et riz - 2 kg,Croquettes premium poulet et riz pour chien adulte. Digestion facilitée pelage brillant. Livraison rapide.,kg,active
croquettes-chien-adulte-poulet-riz,,,,,,,Format,12 kg,PZ-CCA-12KG,12000,shopify,20,deny,manual,64.90,74.90,TRUE,TRUE,,,,FALSE,,,kg,active
croquettes-chien-sans-cereales-saumon,Croquettes Chien Sans Céréales au Saumon,"<p>Recette sans céréales au saumon, riche en acides gras oméga-3, pensée pour les chiens sensibles ou sujets aux allergies alimentaires.</p>",PattesZen,Croquettes chien,"chien,croquettes,sans-cereales,sensible",TRUE,Format,3 kg,PZ-CCS-3KG,3000,shopify,25,deny,manual,32.90,,TRUE,TRUE,,,,FALSE,Croquettes chien sans céréales saumon - 3 kg,Croquettes sans céréales au saumon pour chien sensible. Riches en omega-3. Sans additifs superflus.,kg,active
croquettes-chien-sans-cereales-saumon,,,,,,,Format,15 kg,PZ-CCS-15KG,15000,shopify,15,deny,manual,99.90,,TRUE,TRUE,,,,FALSE,,,kg,active
croquettes-chat-adulte-volaille,Croquettes Chat Adulte à la Volaille,"<p>Formule savoureuse à la volaille pour chats adultes, enrichie en taurine pour la santé cardiaque et en fibres pour le transit.</p>",PattesZen,Croquettes chat,"chat,croquettes,adulte",TRUE,Format,1.5 kg,PZ-CTA-1500G,1500,shopify,30,deny,manual,19.90,,TRUE,TRUE,,,,FALSE,Croquettes chat adulte volaille - 1.5 kg,Croquettes à la volaille pour chat adulte enrichies en taurine. Bonne santé digestive et cardiaque.,kg,active
croquettes-chat-adulte-volaille,,,,,,,Format,8 kg,PZ-CTA-8KG,8000,shopify,18,deny,manual,54.90,,TRUE,TRUE,,,,FALSE,,,kg,active
croquettes-chaton-1er-age,Croquettes Chaton 1er Âge,"<p>Croquettes spécialement formulées pour la croissance des chatons de 1 à 12 mois, riches en protéines et en DHA pour le développement cérébral.</p>",PattesZen,Croquettes chat,"chat,chaton,croquettes,croissance",TRUE,Format,1 kg,PZ-CCH-1KG,1000,shopify,25,deny,manual,17.90,,TRUE,TRUE,,,,FALSE,Croquettes chaton 1er âge - 1 kg,Croquettes de croissance pour chaton riches en protéines et DHA.,kg,active
croquettes-chaton-1er-age,,,,,,,Format,4 kg,PZ-CCH-4KG,4000,shopify,15,deny,manual,44.90,,TRUE,TRUE,,,,FALSE,,,kg,active
friandises-dentaires-chien,Friandises Dentaires pour Chien,"<p>Bâtonnets à mâcher qui réduisent la formation de tartre et de plaque dentaire tout en rafraîchissant l'haleine. Idéal en complément du brossage.</p>",PattesZen,Friandises,"chien,friandises,hygiene-dentaire",TRUE,Format,Boîte de 28,PZ-FDC-28,700,shopify,40,deny,manual,8.90,,TRUE,TRUE,,,,FALSE,Friandises dentaires chien - boîte de 28,Bâtonnets dentaires pour chien. Réduit le tartre et rafraîchit l'haleine.,kg,active
friandises-chat-au-poulet,Friandises Chat au Poulet,"<p>Friandises moelleuses au poulet, sans colorants ni conservateurs artificiels, parfaites pour le dressage ou en récompense quotidienne.</p>",PattesZen,Friandises,"chat,friandises",TRUE,Format,Sachet 60 g,PZ-FCP-60G,60,shopify,50,deny,manual,4.90,,TRUE,TRUE,,,,FALSE,Friandises chat au poulet,Friandises moelleuses au poulet pour chat sans colorants artificiels.,kg,active
